"SHIPMENT_ID","PLANNED_TRANSIT_DAYS","ACTUAL_TRANSIT_DAYS","DELAY_DAYS","DELAY_REASON","ON_TIME_FLAG"
"SH-00613",6,5,0,"NONE",true
"SH-00614",3,\\N,\\N,"NONE",\\N
"SH-00615",5,\\N,\\N,"NONE",\\N
"SH-00616",10,11,1,"WEATHER",false
"SH-00617",10,\\N,\\N,"NONE",\\N
"SH-00618",6,12,6,"PORT_CONGESTION",false
"SH-00619",7,9,2,"OTHER",false
"SH-00620",7,7,0,"NONE",true
"SH-00621",11,\\N,\\N,"NONE",\\N
"SH-00622",5,\\N,\\N,"NONE",\\N
"SH-00623",10,15,5,"OTHER",false
"SH-00624",10,\\N,\\N,"NONE",\\N
"SH-00625",3,\\N,\\N,"NONE",\\N
"SH-00626",4,4,0,"NONE",true
"SH-00627",7,6,0,"NONE",true
"SH-00628",11,11,0,"NONE",true
"SH-00629",6,5,0,"NONE",true
"SH-00630",10,10,0,"NONE",true
"SH-00631",4,\\N,10,"PORT_CONGESTION",\\N
"SH-00632",7,\\N,\\N,"NONE",\\N
"SH-00633",7,7,0,"NONE",true
"SH-00634",11,16,5,"PORT_CONGESTION",false
"SH-00635",5,\\N,\\N,"NONE",\\N
"SH-00636",7,7,0,"NONE",true
"SH-00637",6,\\N,\\N,"NONE",\\N
"SH-00638",5,\\N,\\N,"NONE",\\N
"SH-00639",6,\\N,\\N,"NONE",\\N
"SH-00640",5,4,0,"NONE",true
"SH-00641",12,12,0,"NONE",true
"SH-00642",11,10,0,"NONE",true
"SH-00643",5,\\N,\\N,"NONE",\\N
"SH-00644",6,6,0,"NONE",true
"SH-00645",3,3,0,"NONE",true
"SH-00646",10,10,0,"NONE",true
"SH-00647",5,5,0,"NONE",true
"SH-00648",7,7,0,"NONE",true
"SH-00649",7,7,1,"OTHER",false
"SH-00650",5,5,0,"NONE",true
"SH-00651",7,6,0,"NONE",true
"SH-00652",11,10,0,"NONE",true
"SH-00653",6,6,0,"NONE",true
"SH-00654",7,7,0,"NONE",true
"SH-00655",6,5,0,"NONE",true
"SH-00656",11,10,0,"NONE",true
"SH-00657",5,5,0,"NONE",true
"SH-00658",7,\\N,\\N,"NONE",\\N
"SH-00659",7,7,0,"NONE",true
"SH-00660",7,6,0,"NONE",true
"SH-00661",12,11,0,"NONE",true
"SH-00662",11,18,8,"OTHER",false
"SH-00663",4,\\N,\\N,"NONE",\\N
"SH-00664",3,2,0,"NONE",true
"SH-00665",5,13,8,"CUSTOMS",false
"SH-00666",11,11,0,"NONE",true
"SH-00667",6,\\N,\\N,"NONE",\\N
"SH-00668",7,8,2,"CUSTOMS",false
"SH-00669",12,12,0,"NONE",true
"SH-00670",5,12,7,"WEATHER",false
"SH-00671",11,\\N,\\N,"NONE",\\N
"SH-00672",5,5,0,"NONE",true
"SH-00673",11,15,4,"WEATHER",false
"SH-00674",5,5,0,"NONE",true
"SH-00675",5,7,2,"OTHER",false
"SH-00676",4,4,0,"NONE",true
"SH-00677",7,8,2,"CUSTOMS",false
"SH-00678",6,\\N,3,"WEATHER",\\N
"SH-00679",11,\\N,\\N,"NONE",\\N
"SH-00680",11,10,0,"NONE",true
"SH-00681",3,5,3,"OTHER",false
"SH-00682",7,6,0,"NONE",true
"SH-00683",6,6,0,"NONE",true
"SH-00684",6,7,1,"WEATHER",false
"SH-00685",11,\\N,\\N,"NONE",\\N
"SH-00686",4,4,0,"NONE",true
"SH-00687",11,\\N,\\N,"NONE",\\N
"SH-00688",5,5,0,"NONE",true
"SH-00689",7,7,0,"NONE",true
"SH-00690",6,5,0,"NONE",true
"SH-00691",4,\\N,\\N,"NONE",\\N
"SH-00692",5,4,0,"NONE",true
"SH-00693",7,6,0,"NONE",true
"SH-00694",5,5,0,"NONE",true
"SH-00695",7,\\N,\\N,"NONE",\\N
"SH-00696",11,14,3,"MECHANICAL",false
"SH-00697",12,\\N,\\N,"NONE",\\N
"SH-00698",6,\\N,\\N,"NONE",\\N
"SH-00699",7,\\N,\\N,"NONE",\\N
"SH-00700",5,4,0,"NONE",true
"SH-00701",5,4,0,"NONE",true
"SH-00702",10,11,2,"MECHANICAL",false
"SH-00703",5,\\N,\\N,"NONE",\\N
"SH-00704",11,11,0,"NONE",true
"SH-00705",11,12,2,"PORT_CONGESTION",false
"SH-00706",7,6,0,"NONE",true
"SH-00707",6,5,0,"NONE",true
"SH-00708",10,\\N,\\N,"NONE",\\N
"SH-00709",5,5,0,"NONE",true
"SH-00710",11,\\N,\\N,"NONE",\\N
"SH-00711",6,5,0,"NONE",true
"SH-00712",3,9,6,"CUSTOMS",false
"SH-00713",7,10,3,"CUSTOMS",false
"SH-00714",7,7,0,"NONE",true
"SH-00715",5,\\N,\\N,"NONE",\\N
"SH-00716",5,\\N,10,"PORT_CONGESTION",\\N
"SH-00717",10,9,0,"NONE",true
"SH-00718",7,10,3,"MECHANICAL",false
"SH-00719",5,5,0,"NONE",true
"SH-00720",6,6,0,"NONE",true
"SH-00721",6,7,1,"WEATHER",false
"SH-00722",11,19,8,"PORT_CONGESTION",false
"SH-00723",5,\\N,1,"WEATHER",\\N
"SH-00724",7,6,0,"NONE",true
"SH-00725",11,\\N,7,"MECHANICAL",\\N
"SH-00726",10,9,0,"NONE",true
"SH-00727",11,\\N,\\N,"NONE",\\N
"SH-00728",7,6,0,"NONE",true
"SH-00729",7,\\N,\\N,"NONE",\\N
"SH-00730",11,10,0,"NONE",true
"SH-00731",11,11,0,"NONE",true
"SH-00732",3,2,0,"NONE",true
"SH-00733",7,6,0,"NONE",true
"SH-00734",2,2,0,"NONE",true
"SH-00735",4,4,0,"NONE",true
"SH-00736",7,15,8,"OTHER",false
"SH-00737",3,3,0,"NONE",true
"SH-00738",7,9,2,"MECHANICAL",false
"SH-00739",5,7,2,"PORT_CONGESTION",false
"SH-00740",7,6,0,"NONE",true
"SH-00741",2,2,0,"NONE",true
"SH-00742",4,6,2,"OTHER",false
"SH-00743",11,14,3,"PORT_CONGESTION",false
"SH-00744",11,\\N,\\N,"NONE",\\N
"SH-00745",3,3,0,"NONE",true
"SH-00746",5,11,6,"MECHANICAL",false
"SH-00747",6,6,0,"NONE",true
"SH-00748",5,4,0,"NONE",true
"SH-00749",5,4,0,"NONE",true
"SH-00750",2,2,0,"NONE",true
"SH-00751",6,6,0,"NONE",true
"SH-00752",4,3,0,"NONE",true
"SH-00753",2,10,8,"WEATHER",false
"SH-00754",12,\\N,\\N,"NONE",\\N
"SH-00755",10,\\N,\\N,"NONE",\\N
"SH-00756",10,10,0,"NONE",true
"SH-00757",11,10,0,"NONE",true
"SH-00758",12,11,0,"NONE",true
"SH-00759",5,4,0,"NONE",true
"SH-00760",10,15,6,"PORT_CONGESTION",false
"SH-00761",11,10,0,"NONE",true
"SH-00762",5,5,0,"NONE",true
"SH-00763",5,4,0,"NONE",true
"SH-00764",10,\\N,\\N,"NONE",\\N
"SH-00765",5,\\N,\\N,"NONE",\\N
"SH-00766",11,\\N,\\N,"NONE",\\N
"SH-00767",7,\\N,\\N,"NONE",\\N
"SH-00768",11,11,0,"NONE",true
"SH-00769",3,5,3,"CUSTOMS",false
"SH-00770",5,5,0,"NONE",true
"SH-00771",5,\\N,\\N,"NONE",\\N
"SH-00772",5,6,2,"MECHANICAL",false
"SH-00773",6,6,0,"NONE",true
"SH-00774",5,9,4,"MECHANICAL",false
"SH-00775",6,5,0,"NONE",true
"SH-00776",7,7,0,"NONE",true
"SH-00777",7,\\N,\\N,"NONE",\\N
"SH-00778",7,7,0,"NONE",true
"SH-00779",11,10,0,"NONE",true
"SH-00780",10,\\N,\\N,"NONE",\\N
"SH-00781",7,7,0,"NONE",true
"SH-00782",7,6,0,"NONE",true
"SH-00783",5,11,7,"CUSTOMS",false
"SH-00784",10,9,0,"NONE",true
"SH-00785",3,\\N,\\N,"NONE",\\N
"SH-00786",6,5,0,"NONE",true
"SH-00787",11,11,0,"NONE",true
"SH-00788",5,\\N,\\N,"NONE",\\N
"SH-00789",6,7,1,"PORT_CONGESTION",false
"SH-00790",11,14,3,"PORT_CONGESTION",false
"SH-00791",11,11,0,"NONE",true
"SH-00792",6,\\N,\\N,"NONE",\\N
"SH-00793",6,6,0,"NONE",true
"SH-00794",7,7,0,"NONE",true
"SH-00795",11,11,0,"NONE",true
"SH-00796",10,10,0,"NONE",true
"SH-00797",12,\\N,\\N,"NONE",\\N
"SH-00798",10,10,0,"NONE",true
"SH-00799",5,11,6,"WEATHER",false
"SH-00800",5,5,0,"NONE",true
"SH-00801",11,\\N,\\N,"NONE",\\N
"SH-00802",12,12,0,"NONE",true
"SH-00803",7,\\N,\\N,"NONE",\\N
"SH-00804",11,13,2,"CUSTOMS",false
"SH-00805",6,6,0,"NONE",true
"SH-00806",5,\\N,\\N,"NONE",\\N
"SH-00807",12,15,3,"OTHER",false
"SH-00808",4,4,0,"NONE",true
"SH-00809",4,4,0,"NONE",true
"SH-00810",5,5,0,"NONE",true
"SH-00811",3,4,1,"OTHER",false
"SH-00812",5,\\N,\\N,"NONE",\\N
"SH-00813",5,4,0,"NONE",true
"SH-00814",5,11,6,"PORT_CONGESTION",false
"SH-00815",12,11,0,"NONE",true
"SH-00816",5,5,0,"NONE",true
"SH-00817",11,\\N,\\N,"NONE",\\N
"SH-00818",6,5,0,"NONE",true
"SH-00819",6,11,6,"PORT_CONGESTION",false
"SH-00820",10,10,0,"NONE",true
"SH-00821",5,7,2,"OTHER",false
"SH-00822",11,\\N,\\N,"NONE",\\N
"SH-00823",7,6,0,"NONE",true
"SH-00824",6,6,0,"NONE",true
"SH-00825",11,11,0,"NONE",true
"SH-00826",6,5,0,"NONE",true
"SH-00827",7,7,0,"NONE",true
"SH-00828",3,2,0,"NONE",true
"SH-00829",3,7,5,"OTHER",false
"SH-00830",4,5,2,"PORT_CONGESTION",false
"SH-00831",7,8,1,"MECHANICAL",false
"SH-00832",11,\\N,\\N,"NONE",\\N
"SH-00833",10,\\N,\\N,"NONE",\\N
"SH-00834",7,7,0,"NONE",true
"SH-00835",12,\\N,10,"PORT_CONGESTION",\\N
"SH-00836",5,5,0,"NONE",true
"SH-00837",7,7,0,"NONE",true
"SH-00838",5,5,0,"NONE",true
"SH-00839",2,3,1,"PORT_CONGESTION",false
"SH-00840",7,9,3,"WEATHER",false
"SH-00841",10,10,0,"NONE",true
"SH-00842",12,12,0,"NONE",true
"SH-00843",5,\\N,\\N,"NONE",\\N
"SH-00844",7,7,0,"NONE",true
"SH-00845",6,6,0,"NONE",true
"SH-00846",10,\\N,\\N,"NONE",\\N
"SH-00847",3,3,0,"NONE",true
"SH-00848",11,11,0,"NONE",true
"SH-00849",7,\\N,\\N,"NONE",\\N
"SH-00850",10,10,0,"NONE",true
"SH-00851",7,7,0,"NONE",true
"SH-00852",4,5,2,"PORT_CONGESTION",false
"SH-00853",5,7,2,"OTHER",false
"SH-00854",5,10,5,"PORT_CONGESTION",false
"SH-00855",10,\\N,\\N,"NONE",\\N
"SH-00856",7,6,0,"NONE",true
"SH-00857",7,7,0,"NONE",true
"SH-00858",3,3,0,"NONE",true
"SH-00859",3,2,0,"NONE",true
"SH-00860",10,9,0,"NONE",true
"SH-00861",5,10,5,"WEATHER",false
"SH-00862",7,7,0,"NONE",true
"SH-00863",11,11,0,"NONE",true
"SH-00864",10,9,0,"NONE",true
"SH-00865",3,7,4,"PORT_CONGESTION",false
"SH-00866",5,\\N,5,"MECHANICAL",\\N
"SH-00867",6,\\N,\\N,"NONE",\\N
"SH-00868",5,4,0,"NONE",true
"SH-00869",12,11,0,"NONE",true
"SH-00870",5,5,0,"NONE",true
"SH-00871",4,4,0,"NONE",true
"SH-00872",4,\\N,9,"PORT_CONGESTION",\\N
"SH-00873",7,7,0,"NONE",true
"SH-00874",11,11,0,"NONE",true
"SH-00875",6,5,0,"NONE",true
"SH-00876",11,\\N,\\N,"NONE",\\N
"SH-00877",12,12,0,"NONE",true
"SH-00878",7,14,7,"CUSTOMS",false
"SH-00879",11,10,0,"NONE",true
"SH-00880",6,\\N,\\N,"NONE",\\N
"SH-00881",5,\\N,7,"CUSTOMS",\\N
"SH-00882",5,\\N,\\N,"NONE",\\N
"SH-00883",7,\\N,\\N,"NONE",\\N
"SH-00884",10,9,0,"NONE",true
"SH-00885",3,7,4,"PORT_CONGESTION",false
"SH-00886",11,10,0,"NONE",true
"SH-00887",5,4,0,"NONE",true
"SH-00888",11,\\N,\\N,"NONE",\\N
"SH-00889",11,\\N,\\N,"NONE",\\N
"SH-00890",7,11,4,"PORT_CONGESTION",false
"SH-00891",10,10,0,"NONE",true
"SH-00892",5,\\N,3,"CUSTOMS",\\N
"SH-00893",5,5,0,"NONE",true
"SH-00894",2,4,3,"CUSTOMS",false
"SH-00895",12,\\N,5,"PORT_CONGESTION",\\N
"SH-00896",12,14,2,"MECHANICAL",false
"SH-00897",11,18,7,"WEATHER",false
"SH-00898",11,\\N,\\N,"NONE",\\N
"SH-00899",7,7,0,"NONE",true
"SH-00900",4,\\N,\\N,"NONE",\\N
"SH-00901",12,13,1,"WEATHER",false
"SH-00902",2,\\N,3,"PORT_CONGESTION",\\N
"SH-00903",6,\\N,3,"PORT_CONGESTION",\\N
"SH-00904",10,10,0,"NONE",true
"SH-00905",3,3,0,"NONE",true
"SH-00906",6,11,5,"WEATHER",false
"SH-00907",7,\\N,\\N,"NONE",\\N
"SH-00908",7,\\N,\\N,"NONE",\\N
"SH-00909",4,6,2,"WEATHER",false
"SH-00910",11,\\N,\\N,"NONE",\\N
"SH-00911",5,5,0,"NONE",true
"SH-00912",5,\\N,\\N,"NONE",\\N
"SH-00913",5,5,0,"NONE",true
"SH-00914",11,11,0,"NONE",true
"SH-00915",6,6,0,"NONE",true
"SH-00916",2,\\N,\\N,"NONE",\\N
"SH-00917",7,6,0,"NONE",true
"SH-00918",11,11,0,"NONE",true
"SH-00919",10,15,5,"CUSTOMS",false
"SH-00920",5,5,0,"NONE",true
"SH-00921",5,4,0,"NONE",true
"SH-00922",6,5,0,"NONE",true
"SH-00923",3,\\N,\\N,"NONE",\\N
"SH-00924",10,\\N,6,"CUSTOMS",\\N
"SH-00925",7,7,0,"NONE",true
"SH-00926",5,5,0,"NONE",true
"SH-00927",3,2,0,"NONE",true
"SH-00928",7,7,0,"NONE",true
"SH-00929",11,10,0,"NONE",true
"SH-00930",3,2,0,"NONE",true
"SH-00931",3,3,0,"NONE",true
"SH-00932",11,\\N,\\N,"NONE",\\N
"SH-00933",6,6,0,"NONE",true
"SH-00934",11,\\N,\\N,"NONE",\\N
"SH-00935",5,4,0,"NONE",true
"SH-00936",11,17,7,"PORT_CONGESTION",false
"SH-00937",11,11,0,"NONE",true
"SH-00938",5,12,8,"CUSTOMS",false
"SH-00939",11,11,0,"NONE",true
"SH-00940",7,\\N,\\N,"NONE",\\N
"SH-00941",11,11,0,"NONE",true
"SH-00942",11,17,6,"PORT_CONGESTION",false
"SH-00943",2,2,0,"NONE",true
"SH-00944",7,\\N,\\N,"NONE",\\N
"SH-00945",12,20,8,"WEATHER",false
"SH-00946",7,6,0,"NONE",true
"SH-00947",6,6,0,"NONE",true
"SH-00948",11,18,7,"OTHER",false
"SH-00949",6,6,0,"NONE",true
"SH-00950",10,10,0,"NONE",true
"SH-00951",5,4,0,"NONE",true
"SH-00952",7,7,0,"NONE",true
"SH-00953",3,3,0,"NONE",true
"SH-00954",5,11,7,"PORT_CONGESTION",false
"SH-00955",3,9,6,"WEATHER",false
"SH-00956",5,5,0,"NONE",true
"SH-00957",7,15,8,"PORT_CONGESTION",false
"SH-00958",3,5,3,"MECHANICAL",false
"SH-00959",10,10,0,"NONE",true
"SH-00960",5,4,0,"NONE",true
"SH-00961",6,6,0,"NONE",true
"SH-00962",3,\\N,7,"MECHANICAL",\\N
"SH-00963",6,\\N,7,"MECHANICAL",\\N
"SH-00964",11,10,0,"NONE",true
"SH-00965",2,1,0,"NONE",true
"SH-00966",6,6,0,"NONE",true
"SH-00967",7,8,1,"WEATHER",false
"SH-00968",7,10,4,"OTHER",false
"SH-00969",5,\\N,5,"PORT_CONGESTION",\\N
"SH-00970",2,2,0,"NONE",true
"SH-00971",7,8,1,"PORT_CONGESTION",false
"SH-00972",4,\\N,\\N,"NONE",\\N
"SH-00973",3,2,0,"NONE",true
"SH-00974",5,5,0,"NONE",true
"SH-00975",11,10,0,"NONE",true
"SH-00976",5,5,0,"NONE",true
"SH-00977",11,10,0,"NONE",true
"SH-00978",7,\\N,\\N,"NONE",\\N
"SH-00979",3,3,0,"NONE",true
"SH-00980",11,16,5,"MECHANICAL",false
"SH-00981",10,14,4,"PORT_CONGESTION",false
"SH-00982",7,6,0,"NONE",true
"SH-00983",5,5,0,"NONE",true
"SH-00984",10,10,0,"NONE",true
"SH-00985",3,2,0,"NONE",true
"SH-00986",7,7,0,"NONE",true
"SH-00987",3,2,0,"NONE",true
"SH-00988",5,\\N,3,"WEATHER",\\N
"SH-00989",5,5,0,"NONE",true
"SH-00990",5,5,0,"NONE",true
"SH-00991",11,16,5,"WEATHER",false
"SH-00992",3,3,0,"NONE",true
"SH-00993",7,7,0,"NONE",true
"SH-00994",11,\\N,\\N,"NONE",\\N
"SH-00995",5,5,0,"NONE",true
"SH-00996",3,\\N,\\N,"NONE",\\N
"SH-00997",2,2,0,"NONE",true
"SH-00998",6,\\N,\\N,"NONE",\\N
"SH-00999",11,16,5,"OTHER",false
"SH-01000",7,7,0,"NONE",true
